Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, testy : 5, 3
crane, saute : 4, 4
crane, pitch : 5, 4
crane, house : 4, 4
crane, miner : 5, 3
crane, tithe : 5, 4
crane, hippy : 5, 4
crane, creep : 6, 3
crane, jerky : 7, 4
crane, smack : 6, 3
crane, deuce : 5, 3
crane, maxim : 6, 4
crane, snare : 2, 2
crane, neigh : 5, 4
crane, vault : 5, 4
crane, pique : 6, 4
crane, graft : 5, 3
crane, orbit : 3, 3
crane, upset : 5, 3
crane, scare : 2, 2
crane, sleek : 5, 4
crane, bawdy : 5, 3
crane, ovate : 4, 4
crane, kneel : 4, 3
crane, plied : 4, 3
crane, these : 5, 4
crane, image : 4, 4
crane, widen : 4, 3
crane, staff : 7, 3
crane, graph : 6, 4
crane, model : 5, 5
crane, tawny : 3, 3
crane, sweet : 5, 4
crane, taste : 8, 3
crane, index : 4, 3
crane, cause : 3, 2
crane, patsy : 3, 3
crane, bloke : 5, 4
crane, group : 5, 4
crane, flack : 5, 4
crane, curry : 3, 3
crane, quiet : 4, 3
crane, proof : 7, 3
crane, stave : 6, 3
crane, mower : 7, 4
crane, wring : 6, 3
crane, scram : 5, 3
crane, quirk : 5, 4
crane, yacht : 5, 3
crane, clock : 5, 3
crane, gaunt : 5, 6
crane, tooth : 7, 4
crane, shake : 7, 4
crane, renal : 3, 3
crane, lingo : 4, 4
crane, angry : 4, 3
crane, cabby : 7, 3
crane, sally : 3, 3
crane, rugby : 4, 4
crane, blend : 4, 3
crane, imply : 5, 3
crane, juicy : 5, 3
crane, arrow : 5, 3
crane, spelt : 4, 4
crane, tasty : 6, 4
crane, diner : 4, 4
crane, melon : 3, 4
crane, opera : 3, 3
crane, motif : 4, 4
crane, cloth : 3, 3
crane, broth : 4, 4
crane, recur : 4, 2
crane, shady : 4, 4
crane, video : 5, 4
crane, ankle : 4, 3
crane, pudgy : 4, 4
crane, cloak : 4, 3
crane, stake : 5, 4
crane, idler : 4, 5
crane, equip : 4, 3
crane, latch : 4, 5
crane, realm : 3, 3
crane, snarl : 2, 2
crane, opine : 4, 3
crane, metal : 4, 4
crane, viper : 4, 4
crane, cagey : 5, 3
crane, stead : 3, 5
crane, afoot : 5, 4
crane, mason : 3, 3
crane, dowdy : 7, 4
crane, prong : 4, 4
crane, defer : 6, 4
crane, swish : 4, 4
crane, cache : 6, 3
crane, boxer : 9, 5
crane, amuse : 4, 3
crane, rivet : 4, 3
crane, geese : 5, 3
crane, piper : 6, 4
crane, boule : 3, 3
crane, macaw : 5, 3
crane, ratio : 4, 3
crane, small : 4, 4
crane, toxin : 4, 3
crane, begat : 3, 3
crane, afire : 3, 5
crane, flood : 7, 4
crane, annex : 4, 3
crane, horny : 3, 2
crane, spilt : 3, 2
crane, beefy : 5, 4
crane, mocha : 4, 3
crane, lorry : 5, 4
crane, flail : 5, 4
crane, igloo : 5, 4
crane, gamer : 5, 4
crane, rearm : 6, 4
crane, drape : 4, 3
crane, quark : 6, 4
crane, chord : 4, 2
crane, verse : 5, 3
crane, ethic : 3, 3
crane, aider : 4, 4
crane, stank : 4, 2
crane, debit : 4, 4
crane, filet : 3, 3
crane, marsh : 4, 3
crane, scree : 3, 2
crane, laugh : 5, 4
crane, plait : 4, 4
crane, trout : 5, 3
crane, carat : 4, 3
crane, elide : 5, 4
crane, gorge : 6, 4
crane, vista : 3, 4
crane, saucy : 4, 3
crane, magma : 6, 5
crane, funky : 5, 4
crane, dread : 4, 3
crane, balmy : 4, 3
crane, lupus : 5, 4
crane, twine : 3, 3
crane, squat : 4, 3
crane, giver : 6, 5
crane, spore : 4, 4
crane, dogma : 5, 4
crane, phase : 4, 3
crane, basin : 3, 3
crane, inane : 3, 2
crane, pooch : 5, 3
crane, grill : 7, 3
crane, verso : 4, 4
crane, fetch : 4, 3
crane, claim : 4, 3
crane, spike : 5, 4
crane, bathe : 5, 3
crane, spark : 6, 4
crane, abode : 5, 3
crane, putty : 5, 4
crane, sower : 4, 4
crane, navel : 4, 4
crane, paint : 3, 3
crane, aloof : 5, 4
crane, stork : 5, 4
crane, freer : 5, 3
crane, wacky : 4, 3
crane, motel : 5, 3
crane, tonal : 4, 2
crane, chafe : 3, 3
crane, stink : 5, 3
crane, input : 3, 3
crane, empty : 5, 4
crane, speak : 5, 3
crane, dwell : 6, 3
crane, cheek : 6, 4
crane, pagan : 5, 3
crane, toxic : 4, 3
crane, tatty : 7, 5
crane, melee : 6, 4
crane, hazel : 7, 5
crane, shame : 6, 5
crane, afoul : 4, 4
crane, scion : 3, 3
crane, emcee : 4, 3
crane, havoc : 4, 3
crane, cable : 4, 4
crane, baron : 4, 3
crane, ovoid : 4, 5
crane, erect : 2, 3
crane, prove : 6, 4
crane, girly : 5, 4
crane, chaos : 3, 3
crane, stout : 6, 4
crane, chalk : 5, 3
crane, prune : 4, 2
crane, there : 3, 3
crane, infer : 4, 4
crane, tacky : 3, 4
crane, mogul : 5, 4
crane, filmy : 5, 3
crane, river : 7, 3
crane, tally : 3, 4
crane, resin : 3, 4
crane, clump : 5, 3
crane, three : 4, 4
crane, haste : 4, 4
crane, bylaw : 3, 3
crane, riper : 5, 5
crane, daddy : 7, 3
crane, salvo : 4, 3
crane, payer : 4, 4
crane, mamma : 6, 4
crane, vowel : 6, 5
crane, swoop : 7, 3
crane, gouge : 6, 3
crane, mealy : 4, 4
crane, plier : 4, 3
crane, mange : 5, 2
crane, quota : 4, 4
crane, abyss : 3, 3
crane, liver : 5, 5
crane, spell : 4, 5
crane, shack : 5, 4
crane, manga : 6, 5
crane, guess : 4, 3
crane, arena : 2, 2
crane, bring : 5, 4
crane, fuzzy : 6, 4
crane, scamp : 5, 3
crane, upper : 6, 4
crane, begin : 5, 4
crane, favor : 5, 5
crane, sinew : 4, 4
crane, brine : 4, 3
crane, hydro : 4, 4
crane, freak : 5, 5
crane, ounce : 4, 4
crane, handy : 5, 4
crane, logic : 3, 3
crane, thrum : 4, 3
crane, apple : 5, 3
crane, mourn : 3, 3
crane, spoon : 5, 4
crane, folly : 7, 6
crane, pivot : 4, 3
crane, splat : 3, 3
crane, sniff : 4, 4
crane, cocoa : 6, 3
crane, rebar : 5, 5
crane, pause : 5, 4
crane, brain : 5, 3
crane, slosh : 4, 3
crane, lurch : 5, 3
crane, quack : 6, 4
crane, earth : 5, 3
crane, aglow : 4, 5
crane, moron : 4, 3
crane, crumb : 5, 3
crane, frail : 4, 3
crane, admin : 4, 4
crane, stamp : 5, 4
crane, blitz : 4, 3
crane, sheer : 8, 3
crane, bleed : 6, 4
crane, scald : 3, 2
crane, gonad : 4, 3
crane, sheep : 5, 3
crane, fluid : 5, 4
crane, coyly : 5, 3
crane, leery : 4, 3
crane, fewer : 7, 4
crane, derby : 5, 5
crane, crepe : 6, 2
crane, semen : 4, 4
crane, ridge : 4, 3
crane, foggy : 6, 4
crane, treat : 3, 4
crane, rapid : 5, 4
crane, fairy : 7, 4
crane, tweed : 5, 3
crane, ingot : 3, 3
crane, early : 6, 3
crane, stung : 5, 2
crane, scope : 4, 3
crane, exile : 5, 4
crane, often : 4, 3
crane, mecca : 5, 3
crane, write : 3, 4
crane, venom : 4, 3
crane, foamy : 5, 3
crane, swung : 4, 3
crane, trait : 3, 3
crane, grand : 3, 2
crane, lunch : 4, 4
crane, aorta : 4, 3
crane, gamma : 5, 4
crane, stein : 3, 4
crane, locus : 4, 3
crane, grunt : 4, 3
crane, baler : 5, 4
crane, billy : 6, 3
crane, stool : 5, 4
crane, bible : 5, 4
crane, frill : 7, 3
crane, mango : 5, 3
crane, decor : 4, 3
crane, flake : 7, 5
crane, usual : 4, 3
crane, braid : 4, 3
crane, glory : 4, 4
crane, music : 4, 4
crane, dimly : 4, 4
crane, assay : 4, 3
crane, annul : 4, 3
crane, aback : 7, 5
crane, curly : 4, 3
crane, retro : 5, 4
crane, khaki : 4, 3
crane, molar : 4, 4
crane, booby : 7, 5
crane, exert : 5, 3
crane, tabby : 7, 3
crane, tacit : 4, 4
crane, cinch : 4, 3
crane, opium : 4, 3
crane, epoxy : 4, 4
crane, poesy : 4, 4
crane, skull : 5, 4
crane, drake : 5, 4
crane, irony : 3, 3
crane, ombre : 3, 4
crane, nymph : 5, 4
